city,country,region
Tokyo,Japan,Asia
Coventry,United Kingdom,Europe
Amsterdam,Netherlands,Europe
Palaiseau,France,Europe
Melbourne,Australia,Oceania
Seattle,United States,North America
Shanghai,China (Mainland),Asia
Osaka City,Japan,Asia
Munich,Germany,Europe
Glasgow,United Kingdom,Europe
Munich,Germany,Europe
Austin,United States,North America
Heidelberg,Germany,Europe
Champaign,United States,North America
Atlanta,United States,North America
Leuven,Belgium,Europe
Pohang ,South Korea,Asia
Zürich,Switzerland,Europe
Copenhagen,Denmark,Europe
Buenos Aires,Argentina,Latin America
Taipei City,Taiwan,Asia
Sendai City,Japan,Asia
Durham,United Kingdom,Europe
Lund,Sweden,Europe
Chapel Hill,United States,North America
Boston,United States,North America
Sheffield,United Kingdom,Europe
Auckland,New Zealand,Oceania
Birmingham,United Kingdom,Europe
Nottingham,United Kingdom,Europe
Columbus,United States,North America
Hangzhou,China (Mainland),Asia
Dublin,Ireland,Europe
Houston,United States,North America
Seoul,South Korea,Asia
Edmonton,Canada,North America
St. Andrews,United Kingdom,Europe
Perth,Australia,Oceania
University Park,United States,North America
Hong Kong,Hong Kong SAR,Asia
Moscow,Russia,Europe
Hefei,China (Mainland),Asia
Geneva,Switzerland,Europe
Stockholm,Sweden,Europe
St. Louis,United States,North America
Leeds,United Kingdom,Europe
Southampton,United Kingdom,Europe
Helsinki,Finland,Europe
Eindhoven,Netherlands,Europe
West Lafayette,United States,North America
Seoul,South Korea,Asia
Karlsruhe,Germany,Europe
Suwon,South Korea,Asia
Utrecht,Netherlands,Europe
Adelaide,Australia,Oceania
Leiden,Netherlands,Europe
Uppsala,Sweden,Europe
Groningen,Netherlands,Europe
Kuala Lumpur,Malaysia,Asia
Nanjing,China (Mainland),Asia
Kongens Lyngby,Denmark,Europe
Nagoya,Japan,Asia
Davis,United States,North America
Berlin,Germany,Europe
São Paulo,Brazil,Latin America
Sapporo,Japan,Asia
Mexico City,Mexico,Latin America
Wageningen,Netherlands,Europe
Ghent,Belgium,Europe
Berlin,Germany,Europe
London,United Kingdom,Europe
Fukuoka City,Japan,Asia
College Park,United States,North America
Montreal,Canada,North America
Paris,France,Europe
Los Angeles,United States,North America
Gothenburg,Sweden,Europe
Santa Barbara,United States,North America
York,United Kingdom,Europe
Lancaster,United Kingdom,Europe
Cardiff,United Kingdom,Europe
Espoo,Finland,Europe
Santiago,Chile,Latin America
Hamilton,Canada,North America
Aachen,Germany,Europe
Pittsburgh,United States,North America
Oslo,Norway,Europe
Berlin,Germany,Europe
Jerusalem,Israel,Asia
Lausanne,Switzerland,Europe
Atlanta,United States,North America
Rotterdam,Netherlands,Europe
Basel,Switzerland,Europe
East Lansing,United States,North America
Dunedin,New Zealand,Oceania
Waterloo,Canada,North America
Louvain-la-Neuve,Belgium,Europe
Vienna,Austria,Europe
Seoul,South Korea,Asia
Barcelona,Spain,Europe
Lyon,France,Europe
Exeter,United Kingdom,Europe
Aberdeen,United Kingdom,Europe
Bath,United Kingdom,Europe
Hsinchu City,Taiwan,Asia
Newcastle upon Tyne,United Kingdom,Europe
Minneapolis,United States,North America
Irvine,United States,North America
Bergen,Norway,Europe
Tübingen,Germany,Europe
Bern,Switzerland,Europe
Dublin,Ireland,Europe
Hanover,United States,North America
Milan,Italy,Europe
Freiburg im Breisgau,Germany,Europe
New Delhi,India,Asia
Dhahran,Saudi Arabia,Asia
Charlottesville,United States,North America
Liverpool,United Kingdom,Europe
Haymarket,Australia,Oceania
Saint-Aubin,France,Europe
Gainesville,United States,North America
Enschede,Netherlands,Europe
Mumbai,India,Asia
Göttingen,Germany,Europe
Vienna,Austria,Europe
Boulder,United States,North America
Campinas,Brazil,Latin America
Brussels,Belgium,Europe
Rochester,United States,North America
Madrid,Spain,Europe
Reading,United Kingdom,Europe
Bologna,Italy,Europe
Bangalore,India,Asia
Cape Town,South Africa,Africa
Pisa,Italy,Europe
Tokyo,Japan,Asia
Pisa,Italy,Europe
Dresden,Germany,Europe
Barcelona,Spain,Europe
Stockholm,Sweden,Europe
Galveston,United States,North America
Monterrey,Mexico,Latin America
Maastricht,Netherlands,Europe
Santiago,Chile,Latin America
Tokyo,Japan,Asia
Nijmegen,Netherlands,Europe
Tel Aviv,Israel,Asia
Brussels,Belgium,Europe
Hsinchu City,Taiwan,Asia
Chicago,United States,North America
Phoenix,United States,North America
London,Canada,North America
Antwerp,Belgium,Europe
Nashville,United States,North America
Cleveland,United States,North America
Christchurch,New Zealand,Oceania
Rome,Italy,Europe
Notre Dame,United States,North America
Calgary,Canada,North America
Amsterdam,Netherlands,Europe
"Kelburn, Wellington",New Zealand,Oceania
Paris,France,Europe
Riyadh,Saudi Arabia,Asia
Tainan City,Taiwan,Asia
Hamburg,Germany,Europe
Callaghan,Australia,Oceania
Haifa,Israel,Asia
Kingston,Canada,North America
Washington D.C.,United States,North America
Brighton,United Kingdom,Europe
Seri Kembangan,Malaysia,Asia
Bangi,Malaysia,Asia
Tucson,United States,North America
Wollongong,Australia,Oceania
Madrid,Spain,Europe
Loughborough,United Kingdom,Europe
Beirut ,Lebanon,Asia
Grenoble,France,Europe
Almaty,Kazakhstan,Asia
Leicester,United Kingdom,Europe
Bonn,Germany,Europe
Saint Petersburg,Russia,Europe
Sydney,Australia,Oceania
Medford,United States,North America
Galway,Ireland,Europe
Burnaby,Canada,North America
Bangkok,Thailand,Asia
Melbourne,Australia,Oceania
Brisbane,Australia,Oceania
Amherst,United States,North America
Tsukuba City,Japan,Asia
Novosibirsk ,Russia,Europe
Miami,United States,North America
Skudai,Malaysia,Asia
Frankfurt,Germany,Europe
Bogotá,Colombia,Latin America
Bogotá,Colombia,Latin America
Beijing,China (Mainland),Asia
Egham,United Kingdom,Europe
Trondheim,Norway,Europe
Stuttgart,Germany,Europe
Perth,Australia,Oceania
Raleigh,United States,North America
Taipei City,Taiwan,Asia
Chennai,India,Asia
Guildford,United Kingdom,Europe
Gelugor,Malaysia,Asia
Jeddah,Saudi Arabia,Asia
Dundee,United Kingdom,Europe
Paris,France,Europe
Pamplona,Spain,Europe
Paris,France,Europe
Darmstadt,Germany,Europe
Norwich,United Kingdom,Europe
Barcelona,Spain,Europe
Turku,Finland,Europe
Glasgow,United Kingdom,Europe
Depok,Indonesia,Asia
Magill,Australia,Oceania
Halifax,Canada,North America
Madrid,Spain,Europe
Wuhan,China (Mainland),Asia
New Brunswick,United States,North America
Gothenburg,Sweden,Europe
Cork,Ireland,Europe
Innsbruck,Austria,Europe
Erlangen,Germany,Europe
Linköping,Sweden,Europe
Ottawa,Canada,North America
Taipei City,Taiwan,Asia
Moscow,Russia,Europe
Hamilton ,New Zealand,Oceania
Kanpur,India,Asia
Geelong,Australia,Oceania
Paris,France,Europe
Padua,Italy,Europe
London,United Kingdom,Europe
Barcelona,Spain,Europe
Seoul,South Korea,Asia
Hong Kong,Hong Kong SAR,Asia
Santa Cruz,United States,North America
Porto,Portugal,Europe
Strasbourg,France,Europe
Bloomington,United States,North America
Lisbon ,Portugal,Europe
Paris,France,Europe
Turin,Italy,Europe
London,United Kingdom,Europe
Münster,Germany,Europe
Kharagpur,India,Asia
Rio de Janeiro,Brazil,Latin America
Edinburgh,United Kingdom,Europe
Hobart,Australia,Oceania
Tartu,Estonia,Europe
Prague,Czech Republic,Europe
Shanghai,China (Mainland),Asia
Palmerston North,New Zealand,Oceania
Buffalo,United States,North America
Guangzhou,China (Mainland),Asia
Lincoln,New Zealand,Oceania
Arlon,Belgium,Europe
Higashihiroshima City,Japan,Asia
Riverside,United States,North America
Tomsk,Russia,Europe
Milan,Italy,Europe
Harbin,China (Mainland),Asia
New York City,United States,North America
Nathan,Australia,Oceania
Taipei City,Taiwan,Asia
Cachan,France,Europe
Bandung,Indonesia,Asia
Cologne,Germany,Europe
Pilar,Argentina,Latin America
Minsk,Belarus,Europe
Nakhon Pathom,Thailand,Asia
Nur-Sultan,Kazakhstan,Asia
Buenos Aires,Argentina,Latin America
Umeå,Sweden,Europe
Gwangju,South Korea,Asia
Newton,United States,North America
Honolulu,United States,North America
Jena,Germany,Europe
London,United Kingdom,Europe
Xi'an,China (Mainland),Asia
Tianjin,China (Mainland),Asia
Boston,United States,North America
Victoria,Canada,North America
Colchester,United Kingdom,Europe
Bandar Seri Begawan,Brunei,Asia
Doha,Qatar,Asia
Kobe City,Japan,Asia
Be'er Sheva,Israel,Asia
Ashburn,United States,North America
Paris,France,Europe
Dolgoprudny,Russia,Europe
Tilburg,Netherlands,Europe
Jyväskylä,Finland,Europe
Ulm,Germany,Europe
Melbourne,Australia,Oceania
Lisbon,Portugal,Europe
Stellenbosch,South Africa,Africa
Johannesburg,South Africa,Africa
Troy,United States,North America
Buenos Aires,Argentina,Latin America
Tokyo,Japan,Asia
Tromsø,Norway,Europe
Townsville,Australia,Oceania
Quezon City,Philippines,Asia
Blacksburg,United States,North America
St. Gallen,Switzerland,Europe
Birmingham,United Kingdom,Europe
Moscow,Russia,Europe
Paris,United Kingdom,Europe
Moscow,Russia,Europe
València,Spain,Europe
Québec,Canada,North America
Aalborg,Denmark,Europe
Tampere,Finland,Europe
Montpellier,France,Europe
Moscow,Russia,Europe
Stony Brook,United States,North America
Odense,Denmark,Europe
Konstanz,Germany,Europe
Lawrence,United States,North America
Mannheim,Germany,Europe
Kaohsiung City,Taiwan,Asia
Al Ain,United Arab Emirates,Asia
Dublin,Ireland,Europe
Salt Lake City,United States,North America
Taoyuan City,Taiwan,Asia
Denver,United States,North America
Chicago,United States,North America
Cairo,Egypt,Africa
Seoul,South Korea,Asia
London,United Kingdom,Europe
Taipei City,Taiwan,Asia
Mainz,Germany,Europe
Hanover,Germany,Europe
Athens,Greece,Europe
St. Petersburg,Russia,Europe
Bochum,Germany,Europe
Bogotá,Colombia,Latin America
Yogyakarta,Indonesia,Asia
Coimbra,Portugal,Europe
Kharkiv,Ukraine,Europe
Vilnius,Lithuania,Europe
Stirling,United Kingdom,Europe
Pullman,United States,North America
Sharjah,United Arab Emirates,Asia
Manama,Bahrain,Asia
Waltham,United States,North America
Almaty,Kazakhstan,Asia
Kyiv,Ukraine,Europe
San Jose,Costa Rica,Latin America
Marseille,France,Europe
Oulu,Finland,Europe
Warsaw,Poland,Europe
Winston-Salem,United States,North America
Ankara,Turkey,Asia
Kunitachi City,Japan,Asia
Shanghai,China (Mainland),Asia
Melbourne,Australia,Oceania
Athens,United States,North America
Pisa,Italy,Europe
Storrs,United States,North America
Newark,United States,North America
Iowa City,United States,North America
Richardson,United States,North America
Gold Coast,Australia,Oceania
Kiel,Germany,Europe
Montreal,Canada,North America
Tallahassee,United States,North America
Roorkee,India,Asia
Istanbul,Turkey,Asia
Islamabad,Pakistan,Asia
Lima,Peru,Latin America
Swansea,United Kingdom,Europe
Buenos Aires,Argentina,Latin America
Xiamen,China (Mainland),Asia
Auckland,New Zealand,Oceania
Kazan,Russia,Europe
Corvallis,United States,North America
Seoul,South Korea,Asia
Trento,Italy,Europe
Paris ,France,Europe
Toronto,Canada,North America
Beijing,China (Mainland),Asia
Lyon,France,Europe
Abu Dhabi,United Arab Emirates,Asia
Muscat,Oman,Asia
New Orleans,United States,North America
Santiago,Chile,Latin America
Kuopio,Finland,Europe
Saskatoon,Canada,North America
Knoxville,United States,North America
Krakow,Poland,Europe
Halle,Germany,Europe
Bogotá,Colombia,Latin America
Istanbul,Turkey,Asia
Huesca,Spain,Europe
Florence,Italy,Europe
Rome,Italy,Europe
Potsdam,Germany,Europe
Albuquerque,United States,North America
Detroit,United States,North America
Washington D.C.,United States,North America
Seoul,South Korea,Asia
Wuhan,China (Mainland),Asia
Ames,United States,North America
Linz,Austria,Europe
Graz,Austria,Europe
Abha,Saudi Arabia,Asia
Ankara,Turkey,Asia
Tehran,"Iran, Islamic Republic of",Asia
Nankai,China (Mainland),Asia
Aberystwyth,United Kingdom,Europe
Giza,Egypt,Africa
Taoyuan City,Taiwan,Asia
Fort Collins,United States,North America
Würzburg,Germany,Europe
Beijing,China (Mainland),Asia
Milan,Italy,Europe
Naples,Italy,Europe
Bremen,Germany,Europe
New Delhi,India,Asia
Baltimore,United States,North America
Istanbul,Turkey,Asia
Prague,Czech Republic,Europe
Changchun,China (Mainland),Asia
Almaty,Kazakhstan,Asia
Madrid,Spain,Europe
Busan,South Korea,Asia
SÃ£o Paulo,Brazil,Latin America
Beirut,Lebanon,Asia
Guelph,Canada,North America
Ekaterinburg,Russia,Europe
Tehran,"Iran, Islamic Republic of",Asia
Thessaloniki,Greece,Europe
Chiba City,Japan,Asia
Jeonju,South Korea,Asia
New York City,United States,North America
Worcester,United States,North America
Philadelphia,United States,North America
Shanghai,China (Mainland),Asia
Guwahati,India,Asia
Kingston upon Thames,United Kingdom,Europe
Lappeenranta ,Finland,Europe
Bethlehem,United States,North America
Shymkent,Kazakhstan,Asia
Murdoch,Australia,Oceania
Kyiv,Ukraine,Europe
Moscow,Russia,Europe
Okayama City,Japan,Asia
Moscow,Russia,Europe
São Paulo,Brazil,Latin America
Rio de Janeiro,Brazil,Latin America
Nanjing,China (Mainland),Asia
Syracuse,United States,North America
Braunschweig,Germany,Europe
Graz,Austria,Europe
Gyeonggi,South Korea,Asia
Granada,Spain,Europe
Montevideo,Uruguay,Latin America
São Paulo,Brazil,Latin America
Porto Alegre,Brazil,Latin America
Saarbrücken,Germany,Europe
Stuttgart,Germany,Europe
Leipzig,Germany,Europe
Regensburg,Germany,Europe
Villeurbanne,France,Europe
Talence,France,Europe
Fribourg,Switzerland,Europe
Québec,Canada,North America
Toulouse,France,Europe
Aveiro,Portugal,Europe
Baghdad,Iraq,Asia
Cincinnati,United States,North America
Limerick,Ireland,Europe
Lincoln,United States,North America
Norman,United States,North America
Pretoria,South Africa,Africa
Tampa,United States,North America
Szeged,Hungary,Europe
Yokohama City,Japan,Asia
Turku,Finland,Europe
Quezon City,Philippines,Asia
Ramat Gan,Israel,Asia
Beijing,China (Mainland),Asia
Chiang Mai,Thailand,Asia
Williamsburg,United States,North America
Coventry,United Kingdom,Europe
Dalian,China (Mainland),Asia
Shanghai,China (Mainland),Asia
Adelaide,Australia,Oceania
Washington D.C.,United States,North America
Buenos Aires,Argentina,Latin America
Tehran,"Iran, Islamic Republic of",Asia
Giessen,Germany,Europe
Kanazawa,Japan,Asia
Kumamoto City,Japan,Asia
Hong Kong,Hong Kong SAR,Asia
Brno,Czech Republic,Europe
Houghton,United States,North America
Nagasaki City,Japan,Asia
Saratov,Russia,Europe
Osaka City,Japan,Asia
Marburg,Germany,Europe
Seoul,South Korea,Asia
Jinan,China (Mainland),Asia
Chengdu,China (Mainland),Asia
Guangzhou,China (Mainland),Asia
Rostov-on-Don,Russia,Europe
Tokyo,Japan,Asia
Makkah,Saudi Arabia,Asia
Alcalá de Henares,Spain,Europe
La Plata,Argentina,Latin America
Belo Horizonte,Brazil,Latin America
Pavia,Italy,Europe
Turin,Italy,Europe
Bayreuth,Germany,Europe
València,Spain,Europe
Bruce,Australia,Oceania
Amman,Jordan,Asia
Lexington,United States,North America
Winnipeg,Canada,North America
Mons,Belgium,Europe
Eugene,United States,North America
Beijing,China (Mainland),Asia
Tampere,Finland,Europe
Ulsan,South Korea,Asia
Burlington,United States,North America
London,United Kingdom,Europe
Vilnius ,Lithuania,Europe
Milperra,Australia,Oceania
Dubai,United Arab Emirates,Asia
Brno,Czech Republic,Europe
Norman Gardens,Australia,Oceania
Gwangju,South Korea,Asia
Vladivostok,Russia,Europe
Indianapolis,United States,North America
Incheon,South Korea,Asia
Maslak-Istanbul,Turkey,Asia
St. Petersburg,Russia,Europe
Kolkata,India,Asia
Irbid,Jordan,Asia
Keele,United Kingdom,Europe
Lanzhou,China (Mainland),Asia
Byblos,Lebanon,Asia
Taipei City,Taiwan,Asia
Taichung City,Taiwan,Asia
Taipei City,Taiwan,Asia
New York,United States,North America
Tallinn,Estonia,Europe
Dortmund,Germany,Europe
Bangkok,Thailand,Asia
Huixquilucan,Mexico,Latin America
Medellin,Colombia,Latin America
Havana,Cuba,Latin America
Salamanca,Spain,Europe
Buenos Aires,Argentina,Latin America
Seville,Spain,Europe
Mexico City,Mexico,Latin America
Santiago de Compostela,Spain,Europe
Duisburg,Germany,Europe
Sherbrooke,Canada,North America
Nice,France,Europe
Seri Iskandar,Malaysia,Asia
Bradford,United Kingdom,Europe
Haifa,Israel,Asia
Houston,United States,North America
Hull,United Kingdom,Europe
Hyderabad,India,Asia
Johannesburg,South Africa,Africa
Kufa,Iraq,Asia
Boston,United States,North America
Columbia,United States,North America
Portsmouth,United Kingdom,Europe
Columbia,United States,North America
Tehran,"Iran, Islamic Republic of",Asia
Coleraine,United Kingdom,Europe
Zagreb,Croatia,Europe
Warsaw,Poland,Europe
Suwon,South Korea,Asia
Chennai,India,Asia
Beijing,China (Mainland),Asia
Ottawa,Canada,North America
Casuarina,Australia,Oceania
Potsdam,United States,North America
Dublin,Ireland,Europe
Karaganda,Kazakhstan,Asia
Budapest,Hungary,Europe
Gifu City,Japan,Asia
Chuncheon,South Korea,Asia
Ciudad de México,Mexico,Latin America
Mexico City,Mexico,Latin America
Kagoshima City,Japan,Asia
Almaty,Kazakhstan,Asia
Seoul,South Korea,Asia
Kuwait City,Kuwait,Asia
Baton Rouge,United States,North America
Rolla,United States,North America
Athens,Greece,Europe
Islamabad,Pakistan,Asia
Riga,Latvia,Europe
Newark,United States,North America
Shanghai,China (Mainland),Asia
Hoboken,United States,North America
Philadelphia,United States,North America
Tokyo,Japan,Asia
Santiago,Chile,Latin America
Guayana City,Venezuela,Latin America
Caracas,Venezuela,Latin America
Concepción,Chile,Latin America
Leioa,Spain,Europe
Buenos Aires,Argentina,Latin America
Lisbon,Portugal,Europe
Brasília,Brazil,Latin America
São Paulo,Brazil,Latin America
Bielefeld,Germany,Europe
Düsseldorf,Germany,Europe
Rennes,France,Europe
Albany,United States,North America
Tuscaloosa,United States,North America
Heraklion,Greece,Europe
Debrecen,Hungary,Europe
Ljubljana,Slovenia,Europe
Milan,Italy,Europe
Braga,Portugal,Europe
Seoul,South Korea,Asia
Windsor,Canada,North America
Richmond,United States,North America
Worcester,United States,North America
Cairo,Egypt,Africa
Surabaya,Indonesia,Asia
Beijing,China (Mainland),Asia
Beijing,China (Mainland),Asia
Poole,United Kingdom,Europe
Beijing,China (Mainland),Asia
Clemson,United States,North America
Bratislava,Slovakia,Europe
Seoul,South Korea,Asia
Manila,Philippines,Asia
Changsha,China (Mainland),Asia
Kuala Lumpur,Malaysia,Asia
Kaunas,Lithuania,Europe
Baku,Azerbaijan,Asia
Daegu,South Korea,Asia
Lahore,Pakistan,Asia
Nizhny Novgorod,Russia,Europe
London,United Kingdom,Europe
Manipal,India,Asia
Maynooth,Ireland,Europe
St. John's,Canada,North America
London,United Kingdom,Europe
Kharkiv,Ukraine,Europe
Niigata City,Japan,Asia
Osaka City,Japan,Asia
Valparaíso,Chile,Latin America
Grahamstown,South Africa,Africa
Northampton,United States,North America
Sofia,Bulgaria,Europe
Tokyo,Japan,Asia
Dallas,United States,North America
Lubbock,United States,North America
Kagurazaka,Japan,Asia
Montevideo,Uruguay,Latin America
Quito,Ecuador,Latin America
Córdoba,Argentina,Latin America
Venice,Italy,Europe
Genoa,Italy,Europe
Modena,Italy,Europe
Trieste,Italy,Europe
Sintok,Malaysia,Asia
Bucharest,Romania,Europe
Orlando,United States,North America
Denver,United States,North America
Dhaka,Bangladesh,Asia
Pinetown,South Africa,Africa
Riga,Latvia,Europe
Patras,Greece,Europe
Plymouth,United Kingdom,Europe
Sharjah,United Arab Emirates,Asia
Laramie,United States,North America
Melbourne,Australia,Oceania
Abu Dhabi,United Arab Emirates,Asia
Alexandria,Egypt,Africa
Riyadh,Saudi Arabia,Asia
Klagenfurt,Austria,Europe
Minsk,Belarus,Europe
Bogor,Indonesia,Asia
Provo,United States,North America
Budapest,Hungary,Europe
Joondalup,Australia,Oceania
Miami,United States,North America
Atlanta,United States,North America
Maebashi,Japan,Asia
Ankara,Turkey,Asia
Manhattan,United States,North America
Bangkok,Thailand,Asia
Hofuf,Saudi Arabia,Asia
Chicago,United States,North America
Nagoya,Japan,Asia
Newcastle upon Tyne,United Kingdom,Europe
Salzburg ,Austria,Europe
Mexico City,Mexico,Latin America
Bogotá,Colombia,Latin America
Santiago,Chile,Latin America
Caracas,Venezuela,Latin America
Florianópolis,Brazil,Latin America
Ferrara,Italy,Europe
Perugia,Italy,Europe
Rome,Italy,Europe
Nancy,France,Europe
Nantes,France,Europe
Lyon,France,Europe
Toulouse,France,Europe
Shah Alam,Malaysia,Asia
Brescia,Italy,Europe
Kolkata,India,Asia
Horana,Sri Lanka,Asia
Hatfield,United Kingdom,Europe
Huddersfield,United Kingdom,Europe
Durham,United States,North America
Pécs,Hungary,Europe
Salford,United Kingdom,Europe
Toowoomba,Australia,Oceania
Tulsa,United States,North America
Yamaguchi City,Japan,Asia
Gyeongsan,South Korea,Asia
Yokohama City,Japan,Asia
Poznań,Poland,Europe
Krakow,Poland,Europe
Cairo,Egypt,Africa
Iași,Romania,Europe
Aligarh,India,Asia
Ankara,Turkey,Asia
Tokyo,Japan,Asia
Athens,Greece,Europe
Auburn,United States,North America
Melbourne,Australia,Oceania
Cluj-Napoca,Romania,Europe
Baku,Azerbaijan,Asia
Varanasi,India,Asia
Waco,United States,North America
Puebla,Mexico,Latin America
Binghamton,United States,North America
Pilani,India,Asia
Birzeit,"Palestinian Territory, Occupied",Asia
Thurgoona,Australia,Oceania
Chongqing,China (Mainland),Asia
Daejeon,South Korea,Asia
Budapest,Hungary,Europe
Adana,Turkey,Asia
Semarang,Indonesia,Asia
Vinnytsia,Ukraine,Europe
Kyoto,Japan,Asia
Edinburgh,United Kingdom,Europe
Taichung City,Taiwan,Asia
New York City,United States,North America
New Taipei City,Taiwan,Asia
Ankara,Turkey,Asia
Fairfax,United States,North America
Istanbul,Turkey,Asia
Almaty,Kazakhstan,Asia
Kent,United States,North America
Khon Kaen,Thailand,Asia
Bangkok,Thailand,Asia
Kitakyushu,Japan,Asia
Lodz,Poland,Europe
London,United Kingdom,Europe
Kampala,Uganda,Africa
Manchester ,United Kingdom,Europe
Milwaukee,United States,North America
Tokyo,Japan,Asia
Oxford,United States,North America
Newark,United States,North America
Toruń,Poland,Europe
Potchefstroom,South Africa,Africa
Nottingham,United Kingdom,Europe
Novosibirsk,Russia,Europe
Tokyo,Japan,Asia
Athens,United States,North America
Stillwater,United States,North America
Chandigarh,India,Asia
Moscow,Russia,Europe
Quito,Ecuador,Latin America
Porto Alegre,Brazil,Latin America
Hat Yai,Thailand,Asia
Kyoto,Japan,Asia
Toronto,Canada,North America
Saitama City,Japan,Asia
Samara,Russia,Europe
San Diego ,United States,North America
Seoul,South Korea,Asia
Surabaya,Indonesia,Asia
Tehran,"Iran, Islamic Republic of",Asia
Matsumoto City,Japan,Asia
Lismore,Australia,Oceania
Sumy,Ukraine,Europe
Aberdeen,United Kingdom,Europe
Hiratsuka City,Japan,Asia
Valdivia,Chile,Latin America
San Nicolás de los Garza,Mexico,Latin America
Toluca de Lerdo,Mexico,Latin America
Ciudad Real,Spain,Europe
Guadalajara,Mexico,Latin America
Cholula,Mexico,Latin America
Merida,Venezuela,Latin America
San Pedro Garza García,Mexico,Latin America
Murcia,Spain,Europe
Oviedo,Spain,Europe
San Juan,Puerto Rico,Latin America
Talca,Chile,Latin America
Valparaíso,Chile,Latin America
Barranquilla,Colombia,Latin America
Bogotá,Colombia,Latin America
Cali,Colombia,Latin America
Bucaramanga,Colombia,Latin America
Caracas,Venezuela,Latin America
Heredia,Costa Rica,Latin America
Mendoza,Argentina,Latin America
Mar del Plata,Argentina,Latin America
Rosario,Argentina,Latin America
San Miguel de Tucumán,Argentina,Latin America
Bahia Blanca,Argentina,Latin America
Lima,Peru,Latin America
Mexico City,Mexico,Latin America
San Martin,Peru,Latin America
Madrid,Spain,Europe
Valparaíso,Chile,Latin America
Buenos Aires,Argentina,Latin America
A Coruña,Spain,Europe
Rio de Janeiro,Brazil,Latin America
Londrina,Brazil,Latin America
Salvador,Brazil,Latin America
Frederico Westphalen,Brazil,Latin America
Viçosa,Brazil,Latin America
Fortaleza,Brazil,Latin America
Curitiba,Brazil,Latin America
Recife,Brazil,Latin America
Rio de Janeiro,Brazil,Latin America
Catania,Italy,Europe
Siena,Italy,Europe
Palermo,Italy,Europe
Surakarta,Indonesia,Asia
Rostock,Germany,Europe
Caen,France,Europe
Cergy,France,Europe
Poitiers,France,Europe
Lyon,France,Europe
Lille,France,Europe
Rabat,Morocco,Africa
Paris,France,Europe
Montpellier,France,Europe
Zallaq,Bahrain,Asia
Bari,Italy,Europe
Belgrade,Serbia,Europe
Malang ,Indonesia,Asia
Preston,United Kingdom,Europe
London,United Kingdom,Europe
Lahore,Pakistan,Asia
Legon,Ghana,Africa
Karachi,Pakistan,Asia
Lahore,Pakistan,Asia
Maribor,Slovenia,Europe
Oxford,United States,North America
Missoula ,United States,North America
Mumbai,India,Asia
Nairobi,Kenya,Africa
Armidale,Australia,Oceania
Pune,India,Asia
San Diego,United States,North America
San Francisco,United States,North America
Manila,Philippines,Asia
Stockton,United States,North America
Sunshine Coast,Australia,Oceania
Cape Town,South Africa,Africa
Wroclaw,Poland,Europe
Toulouse,France,Europe
Logan,United States,North America
Verona,Italy,Europe
Voronezh ,Russia,Europe
Kaunas,Lithuania,Europe
Timișoara,Romania,Europe
Wroclaw ,Poland,Europe
Houston,United States,North America
Oslo,Norway,Europe
Seoul,South Korea,Asia
Frederiksberg,Denmark,Europe
Bedford,United Kingdom,Europe
Cergy,France,Europe
Wiesbaden,Germany,Europe
Paris,France,Europe
Fontainebleau,France,Europe
New Delhi,India,Asia
Stockholm,Sweden,Europe
Thuwal,Saudi Arabia,Asia
London,United Kingdom,Europe
Milan,Italy,Europe
Compiègne,France,Europe
San Francisco,United States,North America
Prague,Czech Republic,Europe
Rehovot,Israel,Asia
Vallendar,Germany,Europe
Cambridge,United States,North America
Stanford,United States,North America
Cambridge,United States,North America
Pasadena,United States,North America
Oxford,United Kingdom,Europe
Cambridge,United Kingdom,Europe
Zürich,Switzerland,Europe
London,United Kingdom,Europe
Chicago,United States,North America
London,United Kingdom,Europe
Singapore,Singapore,Asia
Singapore,Singapore,Asia
Princeton,United States,North America
Ithaca,United States,North America
New Haven,United States,North America
New York City,United States,North America
Beijing,China (Mainland),Asia
Edinburgh,United Kingdom,Europe
Philadelphia,United States,North America
Ann Arbor,United States,North America
Baltimore,United States,North America
Lausanne,Switzerland,Europe
Tokyo,Japan,Asia
Canberra,Australia,Oceania
Hong Kong,Hong Kong SAR,Asia
Durham,United States,North America
Berkeley,United States,North America
Toronto,Canada,North America
Manchester,United Kingdom,Europe
Beijing,China (Mainland),Asia
London,United Kingdom,Europe
Los Angeles,United States,North America
Montreal,Canada,North America
Evanston,United States,North America
Kyoto,Japan,Asia
Seoul,South Korea,Asia
Hong Kong,Hong Kong SAR,Asia
London,United Kingdom,Europe
Parkville,Australia,Oceania
Daejeon,South Korea,Asia
San Diego,United States,North America
Sydney,Australia,Oceania
New York City,United States,North America
Shanghai,China (Mainland),Asia
Sydney,Australia,Oceania
Pittsburgh,United States,North America
Vancouver,Canada,North America
Brisbane,Australia,Oceania
Hong Kong,Hong Kong SAR,Asia
Bristol,United Kingdom,Europe
Delft,Netherlands,Europe
Madison,United States,North America
Coventry,United Kingdom,Europe
Hong Kong,Hong Kong SAR,Asia
Providence,United States,North America
Amsterdam,Netherlands,Europe
Tokyo,Japan,Asia
Melbourne,Australia,Oceania
Shanghai,China (Mainland),Asia
Munich,Germany,Europe
Munich,Germany,Europe
Austin,United States,North America
Heidelberg,Germany,Europe
Palaiseau,France,Europe
Seattle,United States,North America
Osaka City,Japan,Asia
